"book","word","n"
"Mansfield Park","the",6206
"Mansfield Park","to",5475
"Mansfield Park","and",5438
"Emma","to",5239
"Emma","the",5201
"Emma","and",4896
"Mansfield Park","of",4778
"Pride & Prejudice","the",4331
"Emma","of",4291
"Pride & Prejudice","to",4162
"Sense & Sensibility","to",4116
"Sense & Sensibility","the",4105
"Pride & Prejudice","of",3610
"Pride & Prejudice","and",3585
"Sense & Sensibility","of",3571
"Sense & Sensibility","and",3490
"Persuasion","the",3329
"Northanger Abbey","the",3179
"Emma","i",3177
"Emma","a",3129
"Mansfield Park","a",3099
"Mansfield Park","her",3082
"Persuasion","to",2808
"Persuasion","and",2800
"Mansfield Park","was",2651
"Persuasion","of",2570
"Sense & Sensibility","her",2543
"Emma","it",2528
"Mansfield Park","in",2512
"Emma","her",2462
"Emma","was",2398
"Mansfield Park","i",2358
"Northanger Abbey","of",2358
"Emma","she",2340
"Northanger Abbey","and",2306
"Mansfield Park","it",2272
"Mansfield Park","she",2246
"Northanger Abbey","to",2244
"Pride & Prejudice","her",2203
"Emma","in",2189
"Emma","not",2140
"Sense & Sensibility","a",2092
"Pride & Prejudice","i",2065
"Sense & Sensibility","i",1998
"Emma","you",1980
"Sense & Sensibility","in",1979
"Emma","be",1975
"Pride & Prejudice","a",1954
"Mansfield Park","be",1904
"Pride & Prejudice","in",1880
"Sense & Sensibility","was",1861
"Pride & Prejudice","was",1843
"Mansfield Park","not",1815
"Emma","he",1806
"Emma","that",1788
"Sense & Sensibility","it",1755
"Mansfield Park","as",1702
"Pride & Prejudice","she",1695
"Mansfield Park","had",1637
"Emma","had",1624
"Mansfield Park","that",1620
"Sense & Sensibility","she",1613
"Persuasion","a",1594
"Mansfield Park","you",1588
"Northanger Abbey","her",1562
"Mansfield Park","for",1545
"Mansfield Park","he",1543
"Pride & Prejudice","that",1541
"Northanger Abbey","a",1540
"Pride & Prejudice","it",1535
"Emma","but",1441
"Emma","as",1436
"Pride & Prejudice","not",1421
"Persuasion","in",1389
"Sense & Sensibility","that",1382
"Emma","for",1347
"Mansfield Park","his",1339
"Mansfield Park","with",1337
"Persuasion","was",1337
"Pride & Prejudice","you",1326
"Pride & Prejudice","he",1324
"Emma","have",1320
"Sense & Sensibility","be",1299
"Northanger Abbey","i",1285
"Mansfield Park","but",1284
"Northanger Abbey","in",1268
"Sense & Sensibility","for",1262
"Pride & Prejudice","his",1258
"Sense & Sensibility","not",1248
"Pride & Prejudice","be",1240
"Emma","is",1240
"Sense & Sensibility","as",1221
"Emma","with",1217
"Persuasion","her",1203
"Emma","very",1202
"Mansfield Park","have",1198
"Sense & Sensibility","you",1191
"Persuasion","had",1187
"Pride & Prejudice","as",1180
"Pride & Prejudice","had",1173
"Emma","mr",1153
"Persuasion","she",1146
"Emma","his",1145
"Persuasion","i",1123
"Sense & Sensibility","he",1114
"Northanger Abbey","was",1114
"Northanger Abbey","it",1106
"Northanger Abbey","she",1097
"Pride & Prejudice","for",1060
"Pride & Prejudice","with",1052
"Mansfield Park","at",1048
"Persuasion","it",1038
"Emma","at",1031
"Sense & Sensibility","his",1021
"Pride & Prejudice","but",1002
"Sense & Sensibility","had",998
"Sense & Sensibility","with",992
"Emma","so",974
"Northanger Abbey","not",973
"Mansfield Park","is",963
"Persuasion","he",961
"Persuasion","be",950
"Persuasion","not",934
"Northanger Abbey","you",918
"Sense & Sensibility","but",886
"Persuasion","that",876
"Mansfield Park","all",871
"Mansfield Park","so",859
"Pride & Prejudice","is",857
"Mansfield Park","could",857
"Emma","all",845
"Pride & Prejudice","have",840
"Sense & Sensibility","at",839
"Emma","could",837
"Emma","would",820
"Sense & Sensibility","have",819
"Mansfield Park","fanny",816
"Persuasion","as",810
"Northanger Abbey","that",802
"Northanger Abbey","be",795
"Pride & Prejudice","at",787
"Emma","emma",786
"Pride & Prejudice","mr",785
"Mansfield Park","would",771
"Sense & Sensibility","is",760
"Emma","been",759
"Emma","him",759
"Mansfield Park","been",755
"Pride & Prejudice","him",753
"Mansfield Park","very",752
"Sense & Sensibility","by",749
"Mansfield Park","on",743
"Emma","no",742
"Emma","my",728
"Northanger Abbey","for",727
"Pride & Prejudice","on",715
"Persuasion","for",707
"Pride & Prejudice","my",704
"Northanger Abbey","had",703
"Mansfield Park","him",699
"Emma","mrs",699
"Sense & Sensibility","on",696
"Mansfield Park","by",696
"Emma","on",692
"Northanger Abbey","as",684
"Mansfield Park","no",682
"Mansfield Park","which",677
"Northanger Abbey","with",664
"Persuasion","but",664
"Mansfield Park","were",663
"Persuasion","his",659
"Sense & Sensibility","all",656
"Emma","any",654
"Persuasion","with",654
"Sense & Sensibility","so",644
"Sense & Sensibility","him",642
"Emma","do",639
"Pride & Prejudice","by",636
"Sense & Sensibility","my",628
"Persuasion","you",628
"Mansfield Park","from",627
"Sense & Sensibility","elinor",623
"Pride & Prejudice","all",621
"Emma","were",600
"Emma","miss",599
"Pride & Prejudice","elizabeth",597
"Pride & Prejudice","they",597
"Sense & Sensibility","which",593
"Pride & Prejudice","so",589
"Northanger Abbey","but",589
"Persuasion","have",589
"Mansfield Park","or",583
"Mansfield Park","there",579
"Sense & Sensibility","could",578
"Mansfield Park","my",577
"Emma","me",573
"Emma","by",571
"Emma","will",570
"Sense & Sensibility","no",568
"Emma","must",567
"Pride & Prejudice","were",564
"Emma","which",556
"Mansfield Park","what",553
"Emma","there",549
"Mansfield Park","do",547
"Emma","from",546
"Northanger Abbey","he",544
"Sense & Sensibility","from",541
"Emma","they",540
"Pride & Prejudice","which",538
"Emma","what",535
"Persuasion","at",533
"Sense & Sensibility","mrs",530
"Persuasion","all",530
"Northanger Abbey","is",528
"Pride & Prejudice","could",526
"Emma","this",526
"Northanger Abbey","his",525
"Mansfield Park","more",520
"Sense & Sensibility","they",519
"Sense & Sensibility","would",515
"Pride & Prejudice","been",515
"Northanger Abbey","at",513
"Mansfield Park","they",511
"Mansfield Park","this",506
"Sense & Sensibility","very",500
"Mansfield Park","must",498
"Sense & Sensibility","their",496
"Persuasion","been",496
"Emma","or",494
"Pride & Prejudice","from",493
"Mansfield Park","crawford",493
"Northanger Abbey","have",493
"Sense & Sensibility","marianne",492
"Mansfield Park","will",491
"Pride & Prejudice","no",490
"Mansfield Park","an",489
"Emma","such",489
"Emma","much",486
"Pride & Prejudice","very",485
"Emma","if",485
"Emma","said",484
"Mansfield Park","mr",482
"Pride & Prejudice","what",477
"Northanger Abbey","by",475
"Northanger Abbey","so",473
"Sense & Sensibility","them",468
"Pride & Prejudice","would",468
"Emma","more",467
"Persuasion","him",467
"Mansfield Park","such",465
"Emma","an",463
"Mansfield Park","much",458
"Emma","are",455
"Persuasion","could",451
"Persuasion","anne",447
"Sense & Sensibility","me",444
"Sense & Sensibility","what",444
"Pride & Prejudice","their",442
"Pride & Prejudice","this",442
"Emma","one",442
"Sense & Sensibility","been",441
"Sense & Sensibility","were",441
"Pride & Prejudice","your",439
"Sense & Sensibility","this",436
"Emma","every",435
"Persuasion","they",434
"Persuasion","very",434
"Mansfield Park","miss",432
"Emma","them",432
"Pride & Prejudice","me",431
"Pride & Prejudice","them",429
"Northanger Abbey","catherine",428
"Mansfield Park","than",426
"Persuasion","were",426
"Mansfield Park","when",425
"Persuasion","by",418
"Emma","than",416
"Persuasion","which",416
"Emma","harriet",415
"Emma","am",414
"Northanger Abbey","on",413
"Mansfield Park","me",412
"Pride & Prejudice","will",408
"Mansfield Park","mrs",408
"Mansfield Park","your",408
"Sense & Sensibility","more",407
"Mansfield Park","said",406
"Pride & Prejudice","said",401
"Emma","well",401
"Mansfield Park","their",400
"Persuasion","is",398
"Sense & Sensibility","said",397
"Emma","thing",397
"Persuasion","on",396
"Mansfield Park","if",394
"Sense & Sensibility","any",390
"Mansfield Park","any",389
"Emma","weston",389
"Pride & Prejudice","such",386
"Mansfield Park","them",386
"Sense & Sensibility","your",385
"Emma","think",383
"Northanger Abbey","they",382
"Northanger Abbey","very",379
"Sense & Sensibility","every",376
"Pride & Prejudice","darcy",373
"Pride & Prejudice","when",373
"Mansfield Park","only",372
"Mansfield Park","sir",372
"Emma","how",371
"Mansfield Park","one",370
"Mansfield Park","are",369
"Emma","should",369
"Mansfield Park","edmund",364
"Northanger Abbey","could",364
"Sense & Sensibility","will",363
"Mansfield Park","being",363
"Emma","when",363
"Emma","your",362
"Sense & Sensibility","than",361
"Pride & Prejudice","an",361
"Sense & Sensibility","such",359
"Emma","good",359
"Emma","little",359
"Persuasion","so",359
"Emma","being",358
"Emma","never",358
"Emma","knightley",356
"Persuasion","no",356
"Sense & Sensibility","or",355
"Persuasion","would",355
"Mansfield Park","should",353
"Emma","did",352
"Pride & Prejudice","if",350
"Mansfield Park","think",349
"Emma","we",349
"Pride & Prejudice","there",348
"Northanger Abbey","all",348
"Northanger Abbey","no",347
"Northanger Abbey","my",346
"Sense & Sensibility","an",345
"Mansfield Park","own",345
"Pride & Prejudice","mrs",343
"Pride & Prejudice","do",341
"Emma","only",341
"Pride & Prejudice","are",338
"Emma","know",337
"Mansfield Park","we",336
"Mansfield Park","am",333
"Mansfield Park","now",333
"Northanger Abbey","which",332
"Sense & Sensibility","do",327
"Pride & Prejudice","much",326
"Mansfield Park","good",326
"Emma","might",326
"Mansfield Park","might",324
"Mansfield Park","well",324
"Pride & Prejudice","more",323
"Mansfield Park","who",322
"Sense & Sensibility","one",321
"Emma","elton",319
"Pride & Prejudice","am",316
"Mansfield Park","time",315
"Northanger Abbey","were",312
"Emma","say",310
"Mansfield Park","little",309
"Emma","now",309
"Northanger Abbey","would",309
"Sense & Sensibility","when",306
"Pride & Prejudice","must",305
"Emma","their",304
"Persuasion","captain",303
"Mansfield Park","herself",302
"Mansfield Park","nothing",302
"Emma","own",301
"Pride & Prejudice","or",299
"Mansfield Park","did",297
"Persuasion","from",295
"Pride & Prejudice","bennet",294
"Emma","who",294
"Sense & Sensibility","if",293
"Northanger Abbey","from",293
"Persuasion","their",293
"Northanger Abbey","this",292
"Persuasion","mrs",291
"Sense & Sensibility","much",290
"Northanger Abbey","been",289
"Mansfield Park","how",288
"Mansfield Park","thomas",288
"Sense & Sensibility","only",287
"Persuasion","there",285
"Pride & Prejudice","who",284
"Sense & Sensibility","must",283
"Pride & Prejudice","miss",283
"Mansfield Park","never",283
"Emma","can",283
"Pride & Prejudice","than",282
"Emma","jane",282
"Emma","quite",282
"Northanger Abbey","him",281
"Mansfield Park","some",279
"Emma","herself",279
"Emma","time",279
"Emma","woodhouse",277
"Persuasion","or",274
"Persuasion","more",273
"Sense & Sensibility","own",272
"Persuasion","them",270
"Sense & Sensibility","who",269
"Mansfield Park","without",269
"Pride & Prejudice","any",268
"Northanger Abbey","what",267
"Pride & Prejudice","did",266
"Mansfield Park","too",266
"Pride & Prejudice","jane",264
"Emma","great",264
"Pride & Prejudice","one",263
"Northanger Abbey","an",263
"Mansfield Park","before",262
"Emma","some",262
"Pride & Prejudice","bingley",257
"Emma","nothing",256
"Persuasion","mr",256
"Sense & Sensibility","herself",255
"Emma","too",254
"Persuasion","elliot",254
"Mansfield Park","know",253
"Northanger Abbey","do",251
"Emma","before",250
"Emma","has",250
"Persuasion","this",250
"Emma","about",249
"Emma","most",248
"Sense & Sensibility","did",247
"Pride & Prejudice","we",247
"Pride & Prejudice","should",245
"Northanger Abbey","or",245
"Persuasion","an",245
"Mansfield Park","can",243
"Persuasion","than",243
"Mansfield Park","first",241
"Emma","dear",241
"Sense & Sensibility","well",240
"Mansfield Park","bertram",240
"Sense & Sensibility","there",239
"Sense & Sensibility","time",239
"Sense & Sensibility","now",238
"Emma","always",238
"Northanger Abbey","their",238
"Mansfield Park","again",237
"Sense & Sensibility","am",236
"Sense & Sensibility","how",236
"Sense & Sensibility","should",236
"Pride & Prejudice","know",236
"Mansfield Park","most",235
"Sense & Sensibility","are",234
"Sense & Sensibility","know",232
"Sense & Sensibility","dashwood",231
"Pride & Prejudice","how",231
"Persuasion","one",231
"Northanger Abbey","such",230
"Sense & Sensibility","sister",229
"Northanger Abbey","are",228
"Persuasion","must",228
"Persuasion","when",228
"Pride & Prejudice","before",227
"Pride & Prejudice","herself",227
"Mansfield Park","out",227
"Pride & Prejudice","though",226
"Emma","thought",226
"Northanger Abbey","them",225
"Pride & Prejudice","well",224
"Emma","soon",224
"Persuasion","my",223
"Mansfield Park","soon",222
"Emma","see",222
"Pride & Prejudice","has",221
"Emma","may",221
"Emma","other",221
"Sense & Sensibility","edward",220
"Northanger Abbey","will",220
"Persuasion","being",220
"Mansfield Park","see",219
"Mansfield Park","though",219
"Mansfield Park","up",219
"Emma","again",219
"Persuasion","only",219
"Pride & Prejudice","never",218
"Emma","man",218
"Emma","shall",217
"Sense & Sensibility","though",216
"Pride & Prejudice","soon",216
"Mansfield Park","other",216
"Northanger Abbey","me",216
"Sense & Sensibility","might",215
"Sense & Sensibility","some",215
"Sense & Sensibility","we",215
"Pride & Prejudice","only",215
"Mansfield Park","every",215
"Mansfield Park","two",214
"Emma","without",214
"Persuasion","lady",214
"Sense & Sensibility","has",213
"Sense & Sensibility","mother",213
"Emma","out",212
"Northanger Abbey","your",212
"Pride & Prejudice","think",211
"Persuasion","such",211
"Sense & Sensibility","miss",210
"Sense & Sensibility","think",210
"Pride & Prejudice","can",210
"Pride & Prejudice","other",210
"Mansfield Park","say",210
"Emma","fairfax",210
"Persuasion","do",210
"Sense & Sensibility","can",209
"Emma","first",209
"Northanger Abbey","there",209
"Mansfield Park","has",208
"Northanger Abbey","only",208
"Pride & Prejudice","some",207
"Northanger Abbey","miss",206
"Northanger Abbey","am",205
"Northanger Abbey","if",205
"Persuasion","much",205
"Pride & Prejudice","now",204
"Mansfield Park","after",204
"Emma","sure",204
"Northanger Abbey","one",204
"Sense & Sensibility","after",203
"Pride & Prejudice","time",203
"Emma","indeed",202
"Persuasion","if",202
"Sense & Sensibility","before",201
"Pride & Prejudice","after",200
"Pride & Prejudice","good",200
"Pride & Prejudice","might",200
"Mansfield Park","into",200
"Mansfield Park","quite",200
"Emma","frank",200
"Emma","like",200
"Persuasion","any",200
"Sense & Sensibility","jennings",199
"Mansfield Park","great",199
"Emma","made",199
"Northanger Abbey","more",199
"Pride & Prejudice","every",198
"Mansfield Park","about",198
"Mansfield Park","made",196
"Northanger Abbey","tilney",196
"Mansfield Park","thought",195
"Persuasion","what",195
"Mansfield Park","may",194
"Emma","churchill",193
"Emma","ever",193
"Emma","oh",193
"Mansfield Park","like",192
"Emma","young",192
"Pride & Prejudice","may",191
"Persuasion","wentworth",191
"Emma","up",190
"Northanger Abbey","must",190
"Persuasion","who",190
"Sense & Sensibility","never",189
"Sense & Sensibility","nothing",189
"Sense & Sensibility","too",188
"Pride & Prejudice","little",188
"Persuasion","me",188
"Persuasion","should",188
"Pride & Prejudice","most",187
"Persuasion","good",187
"Mansfield Park","shall",186
"Emma","day",186
"Sense & Sensibility","thing",185
"Mansfield Park","norris",185
"Mansfield Park","rushworth",185
"Mansfield Park","mansfield",184
"Sense & Sensibility","other",183
"Pride & Prejudice","lady",183
"Pride & Prejudice","own",182
"Sense & Sensibility","soon",181
"Sense & Sensibility","willoughby",181
"Mansfield Park","lady",181
"Pride & Prejudice","sister",180
"Mansfield Park","room",180
"Northanger Abbey","said",180
"Sense & Sensibility","mr",178
"Mansfield Park","house",178
"Mansfield Park","make",178
"Northanger Abbey","when",178
"Sense & Sensibility","good",177
"Pride & Prejudice","again",177
"Pride & Prejudice","nothing",177
"Emma","though",177
"Emma","two",177
"Persuasion","little",176
"Sense & Sensibility","may",175
"Sense & Sensibility","without",175
"Mansfield Park","ever",175
"Northanger Abbey","mrs",175
"Pride & Prejudice","being",174
"Pride & Prejudice","then",174
"Sense & Sensibility","see",173
"Emma","better",173
"Northanger Abbey","any",173
"Persuasion","said",173
"Emma","come",172
"Mansfield Park","sister",171
"Northanger Abbey","than",171
"Northanger Abbey","well",171
"Pride & Prejudice","without",170
"Northanger Abbey","much",170
"Sense & Sensibility","ever",169
"Mansfield Park","himself",169
"Emma","then",169
"Emma","father",168
"Persuasion","will",167
"Emma","friend",166
"Persuasion","might",166
"Sense & Sensibility","being",165
"Sense & Sensibility","colonel",165
"Pride & Prejudice","make",165
"Mansfield Park","having",165
"Emma","just",165
"Northanger Abbey","being",165
"Emma","body",164
"Emma","into",163
"Northanger Abbey","did",163
"Northanger Abbey","now",163
"Persuasion","own",163
"Persuasion","well",163
"Pride & Prejudice","wickham",162
"Mansfield Park","day",162
"Mansfield Park","felt",162
"Persuasion","did",162
"Sense & Sensibility","house",161
"Sense & Sensibility","out",161
"Pride & Prejudice","shall",161
"Mansfield Park","dear",161
"Emma","after",161
"Northanger Abbey","mr",161
"Northanger Abbey","we",161
"Sense & Sensibility","first",160
"Sense & Sensibility","little",160
"Sense & Sensibility","lucy",160
"Sense & Sensibility","say",160
"Pride & Prejudice","say",160
"Emma","give",159
"Emma","hartfield",159
"Emma","upon",159
